ID;Entity;Code;Year;$10 a day - share of population below poverty line
1;China;CHN;1981;99.99596172031218 
2;China;CHN;1984;99.99293705236893
3;China;CHN;1987;99.97165064263694
4;China;CHN;1990;99.76518195296971
5;China;CHN;1993;99.34959118504256
6;China;CHN;1996;98.46522530691696
7;China;CHN;1999;97.47988832935224
8;China;CHN;2002;94.90226043468812
9;China;CHN;2005;90.31369558936132
10;China;CHN;2008;84.15172937792728
11;China;CHN;2010;78.73712839428515
12;China;CHN;2011;76.15502626002643
13;China;CHN;2012;72.10125764090328
14;China;CHN;2013;67.17938513926968
15;China;CHN;2014;62.88178596089982
16;China;CHN;2015;59.10357577844636
17;China;CHN;2016;55.60866749632262
18;China;CHN;2017;53.019863677181036
19;China;CHN;2018;49.05980848057166
20;China;CHN;2019;45.83984599406044
21;France;FRA;1984;5.74041769140879
22;France;FRA;1989;3.2259286087405497
23;France;FRA;1994;0.99480343519088
24;France;FRA;2000;0.7419027611647
25;France;FRA;2003;0.94690100161554
26;France;FRA;2004;0.57688859082305
27;France;FRA;2005;0.7217988377278199
28;France;FRA;2006;0.6700298570834701
29;France;FRA;2007;0.31844426491423
30;France;FRA;2008;0.33387110267238
31;France;FRA;2009;0.61154639582383
32;France;FRA;2010;0.61646616334093
33;France;FRA;2011;0.6290893715046599
34;France;FRA;2012;0.8051167812813099
35;France;FRA;2013;0.44327264388395
36;France;FRA;2014;0.34871534892405
37;France;FRA;2015;0.5946490147568799
38;France;FRA;2016;0.42613502928064
39;France;FRA;2017;0.28507628181964
40;France;FRA;2018;0.33920872101223
41;Germany;DEU;1991;0.48618441865332995
42;Germany;DEU;1992;0.6863323087132
43;Germany;DEU;1993;0.47924104563118003
44;Germany;DEU;1994;0.99603158523347
45;Germany;DEU;1995;0.99570474506091
46;Germany;DEU;1996;0.74022154941455
47;Germany;DEU;1997;0.7485616795343
48;Germany;DEU;1998;0.48580317635506
49;Germany;DEU;1999;0.7402796346003301
50;Germany;DEU;2000;0.49236080868855997
51;Germany;DEU;2001;0.49581408169583
52;Germany;DEU;2002;0.73006537134109
53;Germany;DEU;2003;0.73963023205425
54;Germany;DEU;2004;0.49692418714763
55;Germany;DEU;2005;0.48013784247198005
56;Germany;DEU;2006;0.47621800248665996
57;Germany;DEU;2007;0.47532572135071005
58;Germany;DEU;2008;0.47833119135581
59;Germany;DEU;2009;0.49373285830033
60;Germany;DEU;2010;0.49902399730988994
61;Germany;DEU;2011;0.49668019327345
62;Germany;DEU;2012;0.4977874347396
63;Germany;DEU;2013;0.49605191863779
64;Germany;DEU;2014;0.74765612747819
65;Germany;DEU;2015;0.49983453672496003
66;Germany;DEU;2016;0.49375721323538
67;Germany;DEU;2017;0.74862503692573
68;Germany;DEU;2018;0.74561033929192
69;Iraq;IRQ;2006;57.84514367594953
70;Iraq;IRQ;2012;53.22130078602556
71;Lebanon;LBN;2011;5.14502386617919
72;Russia;RUS;1993;52.14246041181505
73;Russia;RUS;1996;51.883773271067454
74;Russia;RUS;1997;51.799967684512836
75;Russia;RUS;1998;57.48555607665221
76;Russia;RUS;1999;68.98109949749082
77;Russia;RUS;2000;64.52619536288505
78;Russia;RUS;2001;58.287873830518954
79;Russia;RUS;2002;53.24750001579051
80;Russia;RUS;2003;49.86541449019748
81;Russia;RUS;2004;45.94746081845279
82;Russia;RUS;2005;41.774666993864464
83;Russia;RUS;2006;36.46180598486382
84;Russia;RUS;2007;29.99120316379732
85;Russia;RUS;2008;23.75075090109085
86;Russia;RUS;2009;23.91675957984578
87;Russia;RUS;2010;20.16258720609038
88;Russia;RUS;2011;18.22841142955909
89;Russia;RUS;2012;16.74777582052056
