Entity;Code;Year;Armed forces personnel, total
Afghanistan;AFG;1985;47000
Afghanistan;AFG;1989;55000
Afghanistan;AFG;1990;58000
Afghanistan;AFG;1991;45000
Afghanistan;AFG;1992;45000
Afghanistan;AFG;1993;45000
Afghanistan;AFG;1994;45000
Afghanistan;AFG;1995;383000
Afghanistan;AFG;1996;429000
Afghanistan;AFG;1997;429000
Afghanistan;AFG;1998;400000
Afghanistan;AFG;1999;400000
Afghanistan;AFG;2000;400000
Afghanistan;AFG;2002;120000
Afghanistan;AFG;2003;130000
Afghanistan;AFG;2004;27000
Afghanistan;AFG;2005;27000
Afghanistan;AFG;2006;51000
Afghanistan;AFG;2007;51000
Afghanistan;AFG;2008;94000
Afghanistan;AFG;2009;255745
Afghanistan;AFG;2010;306800
Afghanistan;AFG;2011;340350
Afghanistan;AFG;2012;338150
Afghanistan;AFG;2013;330650
Afghanistan;AFG;2014;308800
Afghanistan;AFG;2015;319400
Afghanistan;AFG;2016;323000
Afghanistan;AFG;2017;323000
Afghanistan;AFG;2018;272900
Afghanistan;AFG;2019;278000
China;CHN;1985;3900000
China;CHN;1989;3900000
China;CHN;1990;3500000
China;CHN;1991;3200000
China;CHN;1992;3160000
China;CHN;1993;3030000
China;CHN;1994;2930000
China;CHN;1995;4130000
China;CHN;1996;4135000
China;CHN;1997;3640000
China;CHN;1998;3820000
China;CHN;1999;3820000
China;CHN;2000;3910000
China;CHN;2001;3810000
China;CHN;2002;3770000
China;CHN;2003;3750000
China;CHN;2004;3755000
China;CHN;2005;3755000
China;CHN;2006;3605000
China;CHN;2007;2885000
China;CHN;2008;2885000
China;CHN;2009;2945000
China;CHN;2010;2945000
China;CHN;2011;2945000
China;CHN;2012;2993000
China;CHN;2013;2993000
China;CHN;2014;2993000
China;CHN;2015;2843000
China;CHN;2016;2695000
China;CHN;2017;2695000
China;CHN;2018;2695000
China;CHN;2019;2535000
France;FRA;1985;464300
France;FRA;1989;554000
France;FRA;1990;550000
France;FRA;1991;542000
France;FRA;1992;522000
France;FRA;1993;506000
France;FRA;1994;506000
France;FRA;1995;502400
France;FRA;1996;491300
France;FRA;1997;473100
France;FRA;1998;452200
France;FRA;1999;411600
France;FRA;2000;389400
France;FRA;2001;374400
France;FRA;2002;361800
France;FRA;2003;360400
France;FRA;2004;358000
France;FRA;2005;359000
France;FRA;2006;354000
France;FRA;2007;353000
France;FRA;2008;353000
France;FRA;2009;341967
France;FRA;2010;341967
France;FRA;2011;332250
France;FRA;2012;325600
France;FRA;2013;318400
France;FRA;2014;312350
France;FRA;2015;306350
France;FRA;2016;306100
France;FRA;2017;307000
France;FRA;2018;304800
France;FRA;2019;304000
Germany;DEU;1985;478000
Germany;DEU;1989;503000
Germany;DEU;1990;545000
Germany;DEU;1991;457000
Germany;DEU;1992;442000
Germany;DEU;1993;398000
Germany;DEU;1994;362000
Germany;DEU;1995;365000
Germany;DEU;1996;383500
Germany;DEU;1997;347100
Germany;DEU;1998;333500
Germany;DEU;1999;331000
Germany;DEU;2000;221100
Germany;DEU;2001;308400
Germany;DEU;2002;296000
Germany;DEU;2003;284500
Germany;DEU;2004;284000
Germany;DEU;2005;285000
Germany;DEU;2006;246000
Germany;DEU;2007;244000
