Entity;Code;Year;Armed forces personnel (% of total labor force)
Afghanistan;AFG;1990;1,929991841
Afghanistan;AFG;1991;1,394550562
Afghanistan;AFG;1992;1,278102994
Afghanistan;AFG;1993;1,170157909
Afghanistan;AFG;1994;1,083357334
Afghanistan;AFG;1995;8,66731739
Afghanistan;AFG;1996;9,383460999
Afghanistan;AFG;1997;9,194664955
Afghanistan;AFG;1998;8,44686985
Afghanistan;AFG;1999;8,292606354
Afghanistan;AFG;2000;8,072227478
Afghanistan;AFG;2002;2,206736565
Afghanistan;AFG;2003;2,266565084
Afghanistan;AFG;2004;0,447749317
Afghanistan;AFG;2005;0,42843923
Afghanistan;AFG;2006;0,789355993
Afghanistan;AFG;2007;0,77373451
Afghanistan;AFG;2008;1,399519086
Afghanistan;AFG;2009;3,723841667
Afghanistan;AFG;2010;4,342103481
Afghanistan;AFG;2011;4,614584446
Afghanistan;AFG;2012;4,36741972
Afghanistan;AFG;2013;4,063753128
Afghanistan;AFG;2014;3,614223242
Afghanistan;AFG;2015;3,569491625
Afghanistan;AFG;2016;3,467568398
Afghanistan;AFG;2017;3,33999896
Afghanistan;AFG;2018;2,722970247
Afghanistan;AFG;2019;2,677702665
China;CHN;1990;0,545355916
China;CHN;1991;0,493014574
China;CHN;1992;0,479993105
China;CHN;1993;0,453204036
China;CHN;1994;0,43209216
China;CHN;1995;0,602128267
China;CHN;1996;0,592582166
China;CHN;1997;0,515708208
China;CHN;1998;0,536522806
China;CHN;1999;0,530992508
China;CHN;2000;0,535967231
China;CHN;2001;0,518241465
China;CHN;2002;0,506863892
China;CHN;2003;0,497491419
China;CHN;2004;0,492516398
China;CHN;2005;0,488702446
China;CHN;2006;0,466617942
China;CHN;2007;0,372590065
China;CHN;2008;0,372661084
China;CHN;2009;0,380874902
China;CHN;2010;0,381423056
China;CHN;2011;0,378059596
China;CHN;2012;0,38231349
China;CHN;2013;0,380462915
China;CHN;2014;0,378227085
China;CHN;2015;0,357497156
China;CHN;2016;0,337859869
China;CHN;2017;0,337222695
China;CHN;2018;0,337094069
China;CHN;2019;0,316866696
France;FRA;1990;2,115929127
France;FRA;1991;2,085142374
France;FRA;1992;1,990202427
France;FRA;1993;1,919853687
France;FRA;1994;1,913561225
France;FRA;1995;1,892030358
France;FRA;1996;1,830065608
France;FRA;1997;1,763466001
France;FRA;1998;1,676250696
France;FRA;1999;1,507431626
France;FRA;2000;1,415308356
France;FRA;2001;1,354680657
France;FRA;2002;1,293055654
France;FRA;2003;1,261796236
France;FRA;2004;1,246385336
France;FRA;2005;1,239604235
France;FRA;2006;1,215582609
France;FRA;2007;1,201901674
France;FRA;2008;1,193415642
France;FRA;2009;1,14594388
France;FRA;2010;1,141526937
France;FRA;2011;1,10877943
France;FRA;2012;1,077307105
France;FRA;2013;1,048392892
France;FRA;2014;1,029088974
France;FRA;2015;1,006635308
France;FRA;2016;1,005261898
France;FRA;2017;1,006876945
France;FRA;2018;0,995415986
France;FRA;2019;0,995034993
Germany;DEU;1990;1,406443238
Germany;DEU;1991;1,145182967
Germany;DEU;1992;1,113182068
Germany;DEU;1993;1,003564477
Germany;DEU;1994;0,912379205
Germany;DEU;1995;0,924533069
Germany;DEU;1996;0,968930542
Germany;DEU;1997;0,873906851
Germany;DEU;1998;0,838641167
Germany;DEU;1999;0,82792443
Germany;DEU;2000;0,555036545
Germany;DEU;2001;0,770990312
Germany;DEU;2002;0,739158452
Germany;DEU;2003;0,706903815
Germany;DEU;2004;0,70906347
Germany;DEU;2005;0,691195667
Germany;DEU;2006;0,590126157
Germany;DEU;2007;0,582948744
Germany;DEU;2008;0,582196176
Germany;DEU;2009;0,599088669
Germany;DEU;2010;0,599248648
Germany;DEU;2011;0,469790488
Germany;DEU;2012;0,445785344
Germany;DEU;2013;0,430402577
Germany;DEU;2014;0,4208453
Germany;DEU;2015;0,415664464
Germany;DEU;2016;0,41124019
Germany;DEU;2017;0,411061555
Germany;DEU;2018;0,413357377
Germany;DEU;2019;0,414870739
Iraq;IRQ;1990;34,51760101
Iraq;IRQ;1991;11,43239784
Iraq;IRQ;1992;9,506276131
Iraq;IRQ;1993;9,166419029
Iraq;IRQ;1994;9,229243279
Iraq;IRQ;1995;8,543626785
Iraq;IRQ;1996;8,74944973
Iraq;IRQ;1997;8,672512054
Iraq;IRQ;1998;9,069283485
Iraq;IRQ;1999;8,771841049
Iraq;IRQ;2000;8,485671997
Iraq;IRQ;2001;8,022563934
Iraq;IRQ;2002;7,19393301
Iraq;IRQ;2003;6,979387283
Iraq;IRQ;2004;2,812078714
Iraq;IRQ;2005;3,477374792
Iraq;IRQ;2006;7,44350481
Iraq;IRQ;2007;5,357064724
Iraq;IRQ;2008;8,417899132
Iraq;IRQ;2009;9,448584557
Iraq;IRQ;2010;11,23121929
Iraq;IRQ;2011;10,80892467
