Entity;Code;Year;armed_forces_share_population
Afghanistan;AFG;1985;0,39369406
Afghanistan;AFG;1989;0,463396988
Afghanistan;AFG;1990;0,467278011
Afghanistan;AFG;1991;0,338370899
Afghanistan;AFG;1992;0,310654561
Afghanistan;AFG;1993;0,284511192
Afghanistan;AFG;1994;0,263531956
Afghanistan;AFG;1995;2,114776368
Afghanistan;AFG;1996;2,275446332
Afghanistan;AFG;1997;2,216238092
Afghanistan;AFG;1998;2,026571391
Afghanistan;AFG;1999;1,983060007
Afghanistan;AFG;2000;1,924931798
Afghanistan;AFG;2002;0,530955267
Afghanistan;AFG;2003;0,548966294
Afghanistan;AFG;2004;0,109193754
Afghanistan;AFG;2005;0,105245621
Afghanistan;AFG;2006;0,192940219
Afghanistan;AFG;2007;0,188188118
Afghanistan;AFG;2008;0,339077437
Afghanistan;AFG;2009;0,900675285
Afghanistan;AFG;2010;1,051206539
Afghanistan;AFG;2011;1,130077217
Afghanistan;AFG;2012;1,085157402
Afghanistan;AFG;2013;1,02464884
Afghanistan;AFG;2014;0,925359812
Afghanistan;AFG;2015;0,928121359
Afghanistan;AFG;2016;0,912867039
Afghanistan;AFG;2017;0,889902502
Afghanistan;AFG;2018;0,734156281
China;CHN;1985;0,362591909
China;CHN;1989;0,336683654
China;CHN;1990;0,297395576
China;CHN;1991;0,268254448
China;CHN;1992;0,261868779
China;CHN;1993;0,248601706
China;CHN;1994;0,238207504
China;CHN;1995;0,332817442
China;CHN;1996;0,330367568
China;CHN;1997;0,288431972
China;CHN;1998;0,300318633
China;CHN;1999;0,298084728
China;CHN;2000;0,302971421
China;CHN;2001;0,293273248
China;CHN;2002;0,288369105
China;CHN;2003;0,285105296
China;CHN;2004;0,283806484
China;CHN;2005;0,282166114
China;CHN;2006;0,269349725
China;CHN;2007;0,214339754
China;CHN;2008;0,213140149
China;CHN;2009;0,21635808
China;CHN;2010;0,215150291
China;CHN;2011;0,213948788
China;CHN;2012;0,216224978
China;CHN;2013;0,21503239
China;CHN;2014;0,213869128
China;CHN;2015;0,202082973
China;CHN;2016;0,190587407
China;CHN;2017;0,189652264
China;CHN;2018;0,18877205
France;FRA;1985;0,840288411
France;FRA;1989;0,982194568
France;FRA;1990;0,970584907
France;FRA;1991;0,952321045
France;FRA;1992;0,913430371
France;FRA;1993;0,881988308
France;FRA;1994;0,878668672
France;FRA;1995;0,869175776
France;FRA;1996;0,846892943
France;FRA;1997;0,812598181
France;FRA;1998;0,773728876
France;FRA;1999;0,701140176
France;FRA;2000;0,659831217
France;FRA;2001;0,630471517
France;FRA;2002;0,604981981
France;FRA;2003;0,598158479
France;FRA;2004;0,589805489
France;FRA;2005;0,58736788
France;FRA;2006;0,575526244
France;FRA;2007;0,570558266
France;FRA;2008;0,567440122
France;FRA;2009;0,546772044
France;FRA;2010;0,543844671
France;FRA;2011;0,525527184
France;FRA;2012;0,512237827
France;FRA;2013;0,498329087
France;FRA;2014;0,486575365
France;FRA;2015;0,475306158
France;FRA;2016;0,473343757
France;FRA;2017;0,473454815
France;FRA;2018;0,468991535
Germany;DEU;1985;0,6152532
Germany;DEU;1989;0,639458524
Germany;DEU;1990;0,68940232
Germany;DEU;1991;0,574909073
Germany;DEU;1992;0,552754502
Germany;DEU;1993;0,494849112
Germany;DEU;1994;0,447837297
Germany;DEU;1995;0,449847251
Germany;DEU;1996;0,471572445
Germany;DEU;1997;0,426416705
Germany;DEU;1998;0,409691716
Germany;DEU;1999;0,406684193
Germany;DEU;2000;0,271618675
Germany;DEU;2001;0,3786191
Germany;DEU;2002;0,363033728
Germany;DEU;2003;0,348590569
Germany;DEU;2004;0,347841108
Germany;DEU;2005;0,349252983
Germany;DEU;2006;0,301943355
Germany;DEU;2007;0,300204843
Germany;DEU;2008;0,300990242
Germany;DEU;2009;0,310834513
Germany;DEU;2010;0,311115094
Germany;DEU;2011;0,242407365
Germany;DEU;2012;0,230262994
Germany;DEU;2013;0,22365433
Germany;DEU;2014;0,219274633
Germany;DEU;2015;0,216781529
Germany;DEU;2016;0,217899726
Germany;DEU;2017;0,217763688
Germany;DEU;2018;0,218227105
Iraq;IRQ;1985;6,428467517
Iraq;IRQ;1989;5,884103635
Iraq;IRQ;1990;7,979740415
Iraq;IRQ;1991;2,65519518
Iraq;IRQ;1992;2,211627182
Iraq;IRQ;1993;2,14718086
Iraq;IRQ;1994;2,175098166
Iraq;IRQ;1995;2,02140596
Iraq;IRQ;1996;2,081020454
Iraq;IRQ;1997;2,06580549
Iraq;IRQ;1998;2,166016334
Iraq;IRQ;1999;2,100687302
Iraq;IRQ;2000;2,038507014
Iraq;IRQ;2001;1,929100158
Iraq;IRQ;2002;1,7327184
Iraq;IRQ;2003;1,684571543
Iraq;IRQ;2004;0,680250445
Iraq;IRQ;2005;0,843167846
Iraq;IRQ;2006;1,803401937
Iraq;IRQ;2007;1,29696844
Iraq;IRQ;2008;2,032710862
Iraq;IRQ;2009;2,275882466
Iraq;IRQ;2010;2,697870421
Iraq;IRQ;2011;2,611528185
Iraq;IRQ;2012;2,516148316
Iraq;IRQ;2013;0,535632516
Iraq;IRQ;2014;0,607347175
Iraq;IRQ;2015;0,587536319
Iraq;IRQ;2016;0,570872418
Iraq;IRQ;2017;0,556549874
Iraq;IRQ;2018;0,874234953
Lebanon;LBN;1985;0,656110577
Lebanon;LBN;1989;0,660202066
Lebanon;LBN;1990;1,284323547
Lebanon;LBN;1991;1,232159359
Lebanon;LBN;1992;1,202808851
Lebanon;LBN;1993;1,139819151
Lebanon;LBN;1994;1,469136815
Lebanon;LBN;1995;1,779854148
Lebanon;LBN;1996;1,866693181
Lebanon;LBN;1997;2,011794693
Lebanon;LBN;1998;1,843772624
Lebanon;LBN;1999;2,158621599
Lebanon;LBN;2000;1,993351678
Lebanon;LBN;2001;2,124781289
Lebanon;LBN;2002;2,02763853
Lebanon;LBN;2003;1,939213076
Lebanon;LBN;2004;1,860209827
Lebanon;LBN;2005;1,808987518
Lebanon;LBN;2006;1,596719162
Lebanon;LBN;2007;1,594178062
Lebanon;LBN;2008;1,595048633
Lebanon;LBN;2009;1,643456736
Lebanon;LBN;2010;1,596991277
