Entity;Code;Year;GDP per capita growth (annual %)
Afghanistan;AFG;2003;3,868380308
Afghanistan;AFG;2004;-2,875203133
Afghanistan;AFG;2005;7,207967281
Afghanistan;AFG;2006;2,25331068
Afghanistan;AFG;2007;11,02278709
Afghanistan;AFG;2008;1,594215512
Afghanistan;AFG;2009;18,51541901
Afghanistan;AFG;2010;11,26409054
Afghanistan;AFG;2011;-2,681061029
Afghanistan;AFG;2012;8,97486496
Afghanistan;AFG;2013;1,974165678
Afghanistan;AFG;2014;-0,665291071
Afghanistan;AFG;2015;-1,622857213
Afghanistan;AFG;2016;-0,541416168
Afghanistan;AFG;2017;0,064764194
Afghanistan;AFG;2018;-1,194900393
Afghanistan;AFG;2019;1,535636663
Afghanistan;AFG;2020;-4,575031757
China;CHN;1961;-26,5276432
China;CHN;1962;-6,351504803
China;CHN;1963;7,622254372
China;CHN;1964;15,46899509
China;CHN;1965;14,19788933
China;CHN;1966;7,60840416
China;CHN;1967;-8,161497116
China;CHN;1968;-6,571451664
China;CHN;1969;13,77934074
China;CHN;1970;16,05039978
China;CHN;1971;4,15917635
China;CHN;1972;1,290105939
China;CHN;1973;5,327292919
China;CHN;1974;0,218005672
China;CHN;1975;6,816440582
China;CHN;1976;-3,081321955
China;CHN;1977;6,114001751
China;CHN;1978;9,846157074
China;CHN;1979;6,165663719
China;CHN;1980;6,490112782
China;CHN;1981;3,774903774
China;CHN;1982;7,423410416
China;CHN;1983;9,181137085
China;CHN;1984;13,69001961
China;CHN;1985;11,89656162
China;CHN;1986;7,341433525
China;CHN;1987;9,881163597
China;CHN;1988;9,446171761
China;CHN;1989;2,620859146
China;CHN;1990;2,406558514
China;CHN;1991;7,782092094
China;CHN;1992;12,83320999
China;CHN;1993;12,58199692
China;CHN;1994;11,76638889
China;CHN;1995;9,754955292
China;CHN;1996;8,77643013
China;CHN;1997;8,124497414
China;CHN;1998;6,816064358
China;CHN;1999;6,733485699
China;CHN;2000;7,638597488
China;CHN;2001;7,551654816
China;CHN;2002;8,40487957
China;CHN;2003;9,354776382
China;CHN;2004;9,461558342
China;CHN;2005;10,74137497
China;CHN;2006;12,09330463
China;CHN;2007;13,63582039
China;CHN;2008;9,090280533
China;CHN;2009;8,855947495
China;CHN;2010;10,10283279
China;CHN;2011;8,953816414
China;CHN;2012;7,134523869
China;CHN;2013;7,050734043
China;CHN;2014;6,750760078
China;CHN;2015;6,420736313
China;CHN;2016;6,238215446
China;CHN;2017;6,301863194
China;CHN;2018;6,251700401
China;CHN;2019;5,574532986
China;CHN;2020;2,116522789
France;FRA;1961;3,604901075
France;FRA;1962;5,361746788
France;FRA;1963;4,751682281
France;FRA;1964;5,248370647
France;FRA;1965;3,625023127
France;FRA;1966;4,180609703
France;FRA;1967;4,000543594
France;FRA;1968;3,675153494
France;FRA;1969;6,306959629
France;FRA;1970;5,300139904
France;FRA;1971;4,485036373
France;FRA;1972;3,676301003
France;FRA;1973;5,515947342
France;FRA;1974;3,552624941
France;FRA;1975;-1,582712173
France;FRA;1976;3,801210642
France;FRA;1977;2,99383831
France;FRA;1978;3,552383184
France;FRA;1979;3,125276089
France;FRA;1980;1,128687859
France;FRA;1981;0,578960598
France;FRA;1982;1,974348903
France;FRA;1983;0,689995885
France;FRA;1984;0,948111534
France;FRA;1985;1,054121256
France;FRA;1986;1,759954691
France;FRA;1987;1,97749269
France;FRA;1988;4,153395653
France;FRA;1989;3,780015469
France;FRA;1990;2,401647806
France;FRA;1991;0,489793539
France;FRA;1992;1,095401406
