Entity;Code;Year;Cantril ladder score
Afghanistan;AFG;2006;3,72359
Afghanistan;AFG;2007;4,401778
Afghanistan;AFG;2008;4,758381
Afghanistan;AFG;2009;3,8317192
Afghanistan;AFG;2010;3,7829375
Afghanistan;AFG;2011;3,5721004
Afghanistan;AFG;2012;3,1308956
Afghanistan;AFG;2013;3,9828546
Afghanistan;AFG;2014;4,2201686
Afghanistan;AFG;2015;2,6617181
Afghanistan;AFG;2016;2,6943033
Afghanistan;AFG;2017;2,3750918
Afghanistan;AFG;2019;2,5229
Afghanistan;AFG;2020;2,4038
Afghanistan;AFG;2021;1,859
China;CHN;2004;4,5604954
China;CHN;2005;4,862862
China;CHN;2006;4,846295
China;CHN;2007;4,454361
China;CHN;2008;4,6527367
China;CHN;2009;5,0372076
China;CHN;2010;5,0949173
China;CHN;2011;5,2410903
China;CHN;2012;5,195619
China;CHN;2013;5,303878
China;CHN;2014;5,324956
China;CHN;2015;5,0990615
China;CHN;2016;5,131434
China;CHN;2017;5,14412
China;CHN;2018;5,7710648
China;CHN;2019;5,3391
China;CHN;2020;5,5853
China;CHN;2021;5,8179
France;FRA;2003;7,093393
France;FRA;2004;6,5827003
France;FRA;2006;7,0080647
France;FRA;2007;6,2834983
France;FRA;2008;6,797901
France;FRA;2009;6,959185
France;FRA;2010;6,6493654
France;FRA;2011;6,6671214
France;FRA;2012;6,466868
France;FRA;2013;6,357625
France;FRA;2014;6,4752088
France;FRA;2015;6,6352224
France;FRA;2016;6,6659036
France;FRA;2017;6,6896443
France;FRA;2018;6,714112
France;FRA;2019;6,6899
France;FRA;2020;6,6867
France;FRA;2021;6,6613
Germany;DEU;2003;6,6195498
Germany;DEU;2005;6,4168196
Germany;DEU;2006;6,52179
Germany;DEU;2007;6,6414933
Germany;DEU;2008;6,724531
Germany;DEU;2009;6,621312
Germany;DEU;2010;6,702362
Germany;DEU;2011;6,965125
Germany;DEU;2012;6,9842143
Germany;DEU;2013;7,0371375
Germany;DEU;2014;6,873763
Germany;DEU;2015;7,0743246
Germany;DEU;2016;7,1183643
Germany;DEU;2017;7,0354724
Germany;DEU;2018;7,3118978
Germany;DEU;2019;7,1545
Germany;DEU;2020;7,0341
Germany;DEU;2021;6,8918
Iraq;IRQ;2006;4,5898447
