Entity;Code;Year;military_expendit
Afghanistan;AFG;1970;5373185
Afghanistan;AFG;1973;6230685
Afghanistan;AFG;1974;6056124
Afghanistan;AFG;1975;6357396
Afghanistan;AFG;1976;8108200
Afghanistan;AFG;1977;8553767
Afghanistan;AFG;2004;181314788
Afghanistan;AFG;2005;163276671
Afghanistan;AFG;2006;165065079
Afghanistan;AFG;2007;254096109
Afghanistan;AFG;2008;221442177
Afghanistan;AFG;2009;249200716
Afghanistan;AFG;2010;266483016
Afghanistan;AFG;2011;262111643
Afghanistan;AFG;2012;196427762
Afghanistan;AFG;2013;181091046
Afghanistan;AFG;2014;220879237
Afghanistan;AFG;2015;176640494
Afghanistan;AFG;2016;174987948
Afghanistan;AFG;2017;172058282
Afghanistan;AFG;2018;187916789
Afghanistan;AFG;2019;225835644
Afghanistan;AFG;2020;261682436
China;CHN;1989;19576596590
China;CHN;1990;21281576429
China;CHN;1991;22620362006
China;CHN;1992;27509248537
China;CHN;1993;25297171578
China;CHN;1994;24340877296
China;CHN;1995;25281779940
China;CHN;1996;26783868520
China;CHN;1997;28573467560
China;CHN;1998;31198692285
China;CHN;1999;38033787436
China;CHN;2000;41167343480
China;CHN;2001;48813382241
China;CHN;2002;56064353978
China;CHN;2003;60675193889
China;CHN;2004;66832056407
China;CHN;2005;73390247107
China;CHN;2006;84476951989
China;CHN;2007;92862205694
China;CHN;2008;101601438251
China;CHN;2009;123287193197
China;CHN;2010;129359453099
China;CHN;2011;138869453367
China;CHN;2012;153137643797
China;CHN;2013;165588732015
China;CHN;2014;178806152020
China;CHN;2015;192843125211
China;CHN;2016;203944216417
China;CHN;2017;216487099942
China;CHN;2018;229168100156
China;CHN;2019;240332555458
China;CHN;2020;244933509535
France;FRA;1949;13537688634
France;FRA;1950;14637433187
France;FRA;1951;19605038102
France;FRA;1952;24904369350
France;FRA;1953;27737808869
France;FRA;1954;23644143214
France;FRA;1955;22033634200
France;FRA;1956;28161681879
France;FRA;1957;30145691598
France;FRA;1958;27767994545
France;FRA;1959;28395960687
France;FRA;1960;29147052192
France;FRA;1961;30291565374
France;FRA;1962;31305662418
France;FRA;1963;30726661794
