ID;Year;Country;Refugees by origin;Net migration
1;1980;Afghanistan;0;1153959
2;1981;Afghanistan;3063170;0
3;1982;Afghanistan;3846701;0
4;1983;Afghanistan;4430355;0
5;1984;Afghanistan;4673215;0
6;1985;Afghanistan;4877920;3345095
7;1986;Afghanistan;5059969;0
8;1987;Afghanistan;5305237;0
9;1988;Afghanistan;5642417;0
10;1989;Afghanistan;5884821;0
11;1990;Afghanistan;5692904;1525351
12;1991;Afghanistan;5243222;0
13;1992;Afghanistan;4660658;0
14;1993;Afghanistan;3928665;0
15;1994;Afghanistan;3202252;0
16;1995;Afghanistan;2827156;3076383
17;1996;Afghanistan;2685665;0
18;1997;Afghanistan;2659769;0
19;1998;Afghanistan;2841408;0
20;1999;Afghanistan;3068514;0
21;2000;Afghanistan;3035238;867540
22;2001;Afghanistan;2929022;0
23;2002;Afghanistan;2891576;0
24;2003;Afghanistan;2607339;0
25;2004;Afghanistan;2266888;0
26;2005;Afghanistan;2376360;744193
27;2006;Afghanistan;2515776;0
28;2007;Afghanistan;2610307;0
29;2008;Afghanistan;2788019;0
30;2009;Afghanistan;2899401;0
31;2010;Afghanistan;2805097;1046361
32;2011;Afghanistan;2749770;0
33;2012;Afghanistan;2691599;0
34;2013;Afghanistan;2613918;0
35;2014;Afghanistan;2581323;0
36;2015;Afghanistan;2588949;521769
37;2016;Afghanistan;2613906;0
38;2017;Afghanistan;2640165;0
39;2018;Afghanistan;2625872;0
40;2019;Afghanistan;2647596;0
41;2020;Afghanistan;0;314602
42;1980;China;29030;47004
43;1981;China;15035;0
44;1982;China;40;0
45;1983;China;60;0
46;1984;China;86;0
47;1985;China;70;200000
48;1986;China;118;0
49;1987;China;196;0
50;1988;China;456;0
51;1989;China;827;0
52;1990;China;17338;431651
53;1991;China;39586;0
54;1992;China;62285;0
55;1993;China;82938;0
56;1994;China;103697;0
57;1995;China;108528;779982
58;1996;China;108106;0
59;1997;China;107714;0
60;1998;China;108970;0
61;1999;China;111289;0
62;2000;China;116363;382999
63;2001;China;120961;0
64;2002;China;125513;0
