Entity;Code;Year;Military expenditure as a share of GDP (OWID calculated based on NMC, COW & SIPRI (2017))
Afghanistan;AFG;1956;1,7378774
Afghanistan;AFG;1957;2,5403247
Afghanistan;AFG;1958;2,1279352
Afghanistan;AFG;1959;3,665864
Afghanistan;AFG;1960;2,6408591
Afghanistan;AFG;1961;2,5820534
Afghanistan;AFG;1962;2,3942864
Afghanistan;AFG;1963;1,9695715
Afghanistan;AFG;1964;1,8228981
Afghanistan;AFG;1965;1,379189
Afghanistan;AFG;1966;1,2042705
Afghanistan;AFG;1967;1,0730011
Afghanistan;AFG;1968;1,465049
Afghanistan;AFG;1969;1,4904947
Afghanistan;AFG;1970;1,1150917
Afghanistan;AFG;1971;1,6244344
Afghanistan;AFG;1972;2,0186043
Afghanistan;AFG;1973;1,8708371
Afghanistan;AFG;1974;1,6097454
Afghanistan;AFG;1975;1,700477
Afghanistan;AFG;1976;1,652783
Afghanistan;AFG;1977;1,7694657
Afghanistan;AFG;1978;1,797986
Afghanistan;AFG;1979;1,5653416
Afghanistan;AFG;1980;6,5281696
Afghanistan;AFG;1981;9,2895985
Afghanistan;AFG;1982;7,2261391
Afghanistan;AFG;1983;7,439559
Afghanistan;AFG;1984;7,9625354
Afghanistan;AFG;1985;11,335087
Afghanistan;AFG;2001;9,9513187
Afghanistan;AFG;2005;1,8470223
Afghanistan;AFG;2006;1,697385
Afghanistan;AFG;2007;1,553388
Afghanistan;AFG;2008;1,7513416
Afghanistan;AFG;2009;2,0080907
Afghanistan;AFG;2010;1,7379104
Afghanistan;AFG;2011;10,154804
Afghanistan;AFG;2012;10,079138
Afghanistan;AFG;2013;1,0614334
Afghanistan;AFG;2014;1,3343567
Afghanistan;AFG;2015;0,9934538
Afghanistan;AFG;2016;0,89233619
China;CHN;1896;0,33191907
China;CHN;1897;0,33239028
China;CHN;1898;1,2421138
China;CHN;1899;1,2734176
China;CHN;1900;1,2547387
China;CHN;1901;0,56504524
China;CHN;1902;0,85716742
China;CHN;1903;0,85468775
China;CHN;1904;0,77075297
China;CHN;1905;1,043449
China;CHN;1906;0,92517388
China;CHN;1911;0,64915711
China;CHN;1932;1,0402641
China;CHN;1933;1,2444098
China;CHN;1934;1,4778236
China;CHN;1935;1,5401797
China;CHN;1936;1,6823618
China;CHN;1949;14,641767
China;CHN;1950;15,078095
China;CHN;1951;15,631783
China;CHN;1952;11,569446
China;CHN;1953;8,949296
China;CHN;1954;8,4902859
China;CHN;1955;6,5228848
China;CHN;1956;12,53632
China;CHN;1957;13,67202
China;CHN;1958;10,458359
China;CHN;1959;10,753507
China;CHN;1960;11,336885
China;CHN;1961;16,035683
China;CHN;1962;19,929115
China;CHN;1963;21,337257
China;CHN;1964;21,817171
China;CHN;1965;19,805592
