Entity;Code;Year;Research and development expenditure (% of GDP)
China;CHN;1996;0,563239992
China;CHN;1997;0,63872999
China;CHN;1998;0,646889985
China;CHN;1999;0,749629974
China;CHN;2000;0,893159986
China;CHN;2001;0,940330029
China;CHN;2002;1,057860017
China;CHN;2003;1,12037003
China;CHN;2004;1,214980006
China;CHN;2005;1,307919979
China;CHN;2006;1,368540049
China;CHN;2007;1,373690009
China;CHN;2008;1,445919991
China;CHN;2009;1,664800048
China;CHN;2010;1,713719964
China;CHN;2011;1,780339956
China;CHN;2012;1,912140012
China;CHN;2013;1,997859955
China;CHN;2014;2,022429943
China;CHN;2015;2,057009935
China;CHN;2016;2,100330114
China;CHN;2017;2,116029978
China;CHN;2018;2,140579939
France;FRA;1996;2,222800016
France;FRA;1997;2,146990061
France;FRA;1998;2,094759941
France;FRA;1999;2,107670069
France;FRA;2000;2,093460083
France;FRA;2001;2,138040066
France;FRA;2002;2,174489975
France;FRA;2003;2,119940042
France;FRA;2004;2,094609976
France;FRA;2005;2,051510096
France;FRA;2006;2,050940037
France;FRA;2007;2,024509907
France;FRA;2008;2,061170101
France;FRA;2009;2,212069988
France;FRA;2010;2,178570032
France;FRA;2011;2,191610098
France;FRA;2012;2,227070093
France;FRA;2013;2,237030029
France;FRA;2014;2,275919914
France;FRA;2015;2,267030001
France;FRA;2016;2,222379923
France;FRA;2017;2,203480005
France;FRA;2018;2,192939997
Germany;DEU;1996;2,144609928
Germany;DEU;1997;2,188319921
Germany;DEU;1998;2,216130018
Germany;DEU;1999;2,347790003
Germany;DEU;2000;2,40982008
Germany;DEU;2001;2,40437007
Germany;DEU;2002;2,436219931
Germany;DEU;2003;2,47461009
Germany;DEU;2004;2,435189962
Germany;DEU;2005;2,441930056
Germany;DEU;2006;2,47232008
Germany;DEU;2007;2,460479975
Germany;DEU;2008;2,615129948
Germany;DEU;2009;2,742660046
Germany;DEU;2010;2,730240107
Germany;DEU;2011;2,805550098
Germany;DEU;2012;2,881659985
Germany;DEU;2013;2,835989952
Germany;DEU;2014;2,877840042
Germany;DEU;2015;2,930030107
Germany;DEU;2016;2,940989971
Germany;DEU;2017;3,06791997
Germany;DEU;2018;3,132669926
Iraq;IRQ;2007;0,045540001
Iraq;IRQ;2008;0,03435
Iraq;IRQ;2009;0,045620002
Iraq;IRQ;2010;0,036839999
Iraq;IRQ;2011;0,034759998
Iraq;IRQ;2014;0,037330002
Iraq;IRQ;2015;0,037749998
Iraq;IRQ;2016;0,035599999
Iraq;IRQ;2017;0,044100001
Iraq;IRQ;2018;0,043419998
Russia;RUS;1996;0,965919971
Russia;RUS;1997;1,043740034
Russia;RUS;1998;0,953830004
Russia;RUS;1999;0,996230006
Russia;RUS;2000;1,04982996
Russia;RUS;2001;1,176939964
Russia;RUS;2002;1,246520042
Russia;RUS;2003;1,286030054
Russia;RUS;2004;1,151329994
Russia;RUS;2005;1,067970037
Russia;RUS;2006;1,072939992
Russia;RUS;2007;1,116109967
Russia;RUS;2008;1,044350028
Russia;RUS;2009;1,251919985
Russia;RUS;2010;1,130200028
Russia;RUS;2011;1,015450001
Russia;RUS;2012;1,027660012
Russia;RUS;2013;1,027320027
Russia;RUS;2014;1,072409987
Russia;RUS;2015;1,100849986
Russia;RUS;2016;1,102380037
Russia;RUS;2017;1,109670043
Russia;RUS;2018;0,982749999
Spain;ESP;1996;0,787530005
Spain;ESP;1997;0,777809978
Spain;ESP;1998;0,848039985
Spain;ESP;1999;0,838540018
Spain;ESP;2000;0,882759988
Spain;ESP;2001;0,888329983
Spain;ESP;2002;0,959710002
Spain;ESP;2003;1,02373004
Spain;ESP;2004;1,040889978
Spain;ESP;2005;1,099560022
Spain;ESP;2006;1,177019954
Spain;ESP;2007;1,240530014
Spain;ESP;2008;1,325000048
Spain;ESP;2009;1,363639951
Spain;ESP;2010;1,35995996
Spain;ESP;2011;1,333410025
Spain;ESP;2012;1,298769951
Spain;ESP;2013;1,27523005
Spain;ESP;2014;1,242130041
Spain;ESP;2015;1,222360015
Spain;ESP;2016;1,190479994
Spain;ESP;2017;1,210409999
Spain;ESP;2018;1,243229985
Syria;SYR;2015;0,02053
Turkey;TUR;1996;0,451590002
Turkey;TUR;1997;0,49169001
Turkey;TUR;1998;0,362239987
Turkey;TUR;1999;0,456459999
Turkey;TUR;2000;0,467830002
Turkey;TUR;2001;0,526380002
Turkey;TUR;2002;0,51293999
Turkey;TUR;2003;0,469449997
Turkey;TUR;2004;0,502149999
Turkey;TUR;2005;0,569310009
Turkey;TUR;2006;0,557489991
Turkey;TUR;2007;0,691820025
Turkey;TUR;2008;0,692920029
Turkey;TUR;2009;0,809400022
Turkey;TUR;2010;0,798919976
Turkey;TUR;2011;0,799880028
Turkey;TUR;2012;0,83217001
Turkey;TUR;2013;0,818210006
Turkey;TUR;2014;0,860769987
Turkey;TUR;2015;0,881500006
Turkey;TUR;2016;0,944639981
Turkey;TUR;2017;0,959779978
United Kingdom;GBR;1996;1,580170035
United Kingdom;GBR;1997;1,539100051
United Kingdom;GBR;1998;1,551069975
United Kingdom;GBR;1999;1,627920032
United Kingdom;GBR;2000;1,617120028
United Kingdom;GBR;2001;1,604769945
United Kingdom;GBR;2002;1,614969969
United Kingdom;GBR;2003;1,582389951
United Kingdom;GBR;2004;1,533800006
United Kingdom;GBR;2005;1,552790046
United Kingdom;GBR;2006;1,573169947
United Kingdom;GBR;2007;1,612890005
United Kingdom;GBR;2008;1,612720013
United Kingdom;GBR;2009;1,671249986
United Kingdom;GBR;2010;1,645640016
United Kingdom;GBR;2011;1,649590015
United Kingdom;GBR;2012;1,577160001
United Kingdom;GBR;2013;1,620280027
United Kingdom;GBR;2014;1,643399954
United Kingdom;GBR;2015;1,649850011
United Kingdom;GBR;2016;1,660230041
United Kingdom;GBR;2017;1,680220008
United Kingdom;GBR;2018;1,702739954
United States;USA;1996;2,450010061
United States;USA;1997;2,479830027
United States;USA;1998;2,504009962
United States;USA;1999;2,549649954
United States;USA;2000;2,628789902
United States;USA;2001;2,648299932
United States;USA;2002;2,559259892
United States;USA;2003;2,564549923
United States;USA;2004;2,502429962
United States;USA;2005;2,516969919
United States;USA;2006;2,557640076
United States;USA;2007;2,631609917
United States;USA;2008;2,767910004
United States;USA;2009;2,812700033
United States;USA;2010;2,735399961
United States;USA;2011;2,765249968
United States;USA;2012;2,681659937
United States;USA;2013;2,709719896
United States;USA;2014;2,71923995
United States;USA;2015;2,717420101
United States;USA;2016;2,761450052
United States;USA;2017;2,817409992
United States;USA;2018;2,832829952
