ID;Country name;Year;Population;Population at age 1;Population aged 1 to 4 years;Population aged 5 to 9 years;Population aged 10 to 14 years;Population aged 15 to 19 years;Population aged 20 to 29 years;Population aged 30 to 39 years;Population aged 40 to 49 years;Population aged 50 to 59 years;Population aged 60 to 69 years;Population aged 70 to 79 years;Population aged 80 to 89 years;Population aged 90 to 99 years;Population older than 100 years
1;Afghanistan;1980;12486640;492906;1805180;1847335;1534120;1269879;1899019;1405961;986723;655394;362639;140796;24767;996;4
2;Afghanistan;1981;11155196;440721;1616613;1659830;1379539;1140996;1701347;1239538;873502;581731;321162;124289;21928;899;4
3;Afghanistan;1982;10088290;398111;1463627;1509932;1256685;1039023;1542984;1106752;782830;522081;287538;110761;19582;818;4
4;Afghanistan;1983;9951447;392232;1443545;1496584;1248314;1032097;1525986;1079596;766718;510937;280692;107471;19007;804;4
5;Afghanistan;1984;10243689;403498;1484312;1547077;1295626;1070768;1574663;1099034;784629;521129;285519;108244;19079;816;5
6;Afghanistan;1985;10512220;413810;1520449;1593531;1341882;1108368;1619447;1114990;801365;529081;289078;108084;18904;816;4
7;Afghanistan;1986;10448447;414534;1513104;1584431;1341839;1109907;1613642;1094610;792992;520600;284558;105327;18280;798;3
8;Afghanistan;1987;10322767;415915;1505202;1560683;1329390;1102716;1599276;1068461;779333;509924;279622;102922;17739;782;3
9;Afghanistan;1988;10383459;423238;1530231;1563028;1337392;1113583;1614350;1064658;777682;508570;280127;102862;17637;779;3
10;Afghanistan;1989;10673172;439291;1592749;1599499;1370701;1147185;1665396;1087270;791420;518017;287015;105597;18079;805;4
11;Afghanistan;1990;10694804;444466;1615906;1600229;1367168;1150387;1674244;1086889;781368;513805;286235;105655;18106;810;4
12;Afghanistan;1991;10745168;450627;1641122;1612946;1364664;1154411;1686921;1090640;771828;510691;286200;106113;18237;817;5
13;Afghanistan;1992;12057436;510538;1859106;1821630;1519571;1291845;1896301;1220241;854285;567558;320029;119552;20647;927;5
14;Afghanistan;1993;14003764;598419;2178917;2131706;1750497;1493851;2204858;1414071;979227;654077;370461;139818;24288;1090;5
15;Afghanistan;1994;15455560;666344;2428511;2374315;1915866;1638070;2434822;1557323;1065382;716780;406967;155430;27183;1220;5
16;Afghanistan;1995;16418911;713509;2605761;2547224;2023267;1726358;2585793;1651273;1114622;756733;429773;166180;29271;1310;5
17;Afghanistan;1996;17106600;746659;2738337;2679780;2105046;1781850;2691153;1718346;1143449;783973;445120;174237;30925;1383;6
18;Afghanistan;1997;17788818;776843;2864862;2814884;2195903;1833689;2793223;1786543;1171851;810233;460208;182209;32588;1455;7
